time,M01.VELOC,M02.VELOC,M03.VELOC,M04.VELOC,M05.VELOC,M06.VELOC,M07.VELOC,M08.VELOC,M11.VELOC,M12.VELOC,PIC_6101.PV(Bar),PIC_6101.SP(Bar),PIC_6101.MV(%),LIC_3101.PV(%),LIC_3101.SP(%),LIC_3101.MV(%),PIC_3101.PV(Bar),PIC_3101.SP(Bar),PIC_3101.MV(%),FIT_5101.PV(Ton/h),LIT_3101.PV(%),PIT_2101.PV(Bar),PIT_6101.PV(mm2H2O),TT_2101.PV(ºC),TT_5101.PV(ºC),TT_6101.PV(ºC),TT_6102.PV(ºC),TT_6103.PV(ºC),FIC_2101.PV(m3/h),FIC_2101.SP(m3/h),FIC_2101.MV(%),AUXILIAR_VAZAO_COMPENSADA,FIT_5101.PV(kg/s),PIT_6101.PV(Pa),FIC_2101.PV(kg/s),FIC_2101.SP(kg/s)
0,11.521,6.299,9.001,0,0,0,0,0,0,0,-5.009,-5.03,19.186,67.694,58,0,8.385,8,15,0.077,67.694,6.624,-5.009,67.643,175.586,39.437,444.444,109.896,0.016,0,73,0.066,0.0213889,-49.1215,0.00444444,0
1,11.521,6.299,9.001,0,0,0,0,0,0,0,-5.009,-5.03,19.186,67.694,58,0,8.385,8,15,0.077,67.694,6.624,-5.009,67.643,175.586,39.437,444.444,109.896,0.016,0,73,0.066,0.0213889,-49.1215,0.00444444,0
2,11.521,6.299,9.001,0,0,0,0,0,0,0,-5.031,-5.03,19.185,67.701,58,0,8.385,8,15,0.077,67.701,6.623,-5.027,67.643,175.586,39.437,444.401,109.896,0.016,0,73,0.066,0.0213889,-49.298,0.00444444,0
3,11.521,6.299,9.001,0,0,0,0,0,0,0,-5.042,-5.03,19.183,67.726,58,0,8.384,8,15,0.077,67.726,6.626,-5.038,67.643,175.586,39.437,444.314,109.896,0.016,0,73,0.066,0.0213889,-49.4059,0.00444444,0
4,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.042,-5.03,19.181,67.748,58,0,8.384,8,15,0.077,67.748,6.622,-5.035,67.643,175.586,39.323,444.184,109.831,0.016,0,73,0.066,0.0213889,-49.3765,0.00444444,0
5,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.049,-5.03,19.178,67.748,58,0,8.384,8,15,0.077,67.748,6.623,-5.049,67.643,175.586,39.323,444.141,109.782,0.016,0,73,0.066,0.0213889,-49.5138,0.00444444,0
6,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.049,-5.03,19.177,67.708,58,0,8.384,8,15,0.077,67.708,6.621,-5.049,67.643,175.586,39.307,444.01,109.782,0.016,0,73,0.066,0.0213889,-49.5138,0.00444444,0
7,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.064,-5.03,19.175,67.687,58,0,8.383,8,15,0.077,67.687,6.622,-5.046,67.643,175.586,39.307,443.924,109.782,0.016,0,73,0.066,0.0213889,-49.4844,0.00444444,0
8,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.078,-5.03,19.164,67.636,58,0,8.383,8,15,0.076,67.636,6.617,-5.078,67.643,175.586,39.323,443.88,109.782,0.016,0,73,0.066,0.0211111,-49.7982,0.00444444,0
9,11.506,6.299,9.001,0,0,0,0,0,0,0,-5.067,-5.03,19.161,67.622,58,0,8.382,8,15,0.077,67.622,6.616,-5.067,67.643,175.586,39.307,443.837,109.782,0.016,0,73,0.066,0.0213889,-49.6903,0.00444444,0
