time,M01.VELOC,M02.VELOC,M03.VELOC,M04.VELOC,M05.VELOC,M06.VELOC,M07.VELOC,M08.VELOC,M11.VELOC,M12.VELOC,PIC_6101.PV(Bar),PIC_6101.SP(Bar),PIC_6101.MV(%),LIC_3101.PV(%),LIC_3101.SP(%),LIC_3101.MV(%),PIC_3101.PV(Bar),PIC_3101.SP(Bar),PIC_3101.MV(%),FIT_5101.PV(Ton/h),LIT_3101.PV(%),PIT_2101.PV(Bar),PIT_6101.PV(mm2H2O),TT_2101.PV(ºC),TT_5101.PV(ºC),TT_6101.PV(ºC),TT_6102.PV(ºC),TT_6103.PV(ºC),FIC_2101.PV(m3/h),FIC_2101.SP(m3/h),FIC_2101.MV(%),AUXILIAR_VAZAO_COMPENSADA,FIT_5101.PV(kg/s),PIT_6101.PV(Pa),FIC_2101.PV(kg/s),FIC_2101.SP(kg/s)
15000,0,0,0,0,0,0,0,0,0,0,-1.487,-5.03,100,57.198,58,24.598,2.669,5,100,0.003,57.198,0,-1.487,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-14.5825,0.00444444,0
15001,0,0,0,0,0,0,0,0,0,0,-1.49,-5.03,100,57.198,58,24.606,2.669,5,100,0.003,57.198,0,-1.49,21.761,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-14.6119,0.00444444,0
15002,0,0,0,0,0,0,0,0,0,0,-1.49,-5.03,100,57.198,58,24.609,2.669,5,100,0.004,57.198,0,-1.49,21.761,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-14.6119,0.00444444,0
15003,0,0,0,0,0,0,0,0,0,0,-1.497,-5.03,100,57.198,58,24.617,2.669,5,100,0.004,57.198,0,-1.497,21.761,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-14.6806,0.00444444,0
15004,0,0,0,0,0,0,0,0,0,0,-1.497,-5.03,100,57.198,58,24.62,2.669,5,100,0.004,57.198,0,-1.497,21.761,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-14.6806,0.00444444,0
15005,0,0,0,0,0,0,0,0,0,0,-1.505,-5.03,100,57.198,58,24.628,2.669,5,100,0.003,57.198,0,-1.505,21.761,24.382,52.393,175.304,42.513,0.016,0,73,0.002,0.000833333,-14.759,0.00444444,0
15006,0,0,0,0,0,0,0,0,0,0,-1.515,-5.03,100,57.198,58,24.635,2.669,5,100,0.004,57.198,0,-1.512,21.761,24.382,52.393,175.304,42.513,0.016,0,73,0.002,0.00111111,-14.8277,0.00444444,0
15007,0,0,0,0,0,0,0,0,0,0,-1.519,-5.03,100,57.198,58,24.639,2.669,5,100,0.004,57.198,0,-1.519,21.761,24.382,52.393,175.304,42.513,0.016,0,73,0.002,0.00111111,-14.8963,0.00444444,0
15008,0,0,0,0,0,0,0,0,0,0,-1.523,-5.03,100,57.198,58,24.646,2.668,5,100,0.004,57.198,0,-1.523,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-14.9355,0.00444444,0
15009,0,0,0,0,0,0,0,0,0,0,-1.523,-5.03,100,57.198,58,24.649,2.669,5,100,0.004,57.198,0,-1.523,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-14.9355,0.00444444,0
15010,0,0,0,0,0,0,0,0,0,0,-1.537,-5.03,100,57.194,58,24.667,2.669,5,100,0.004,57.194,0,-1.53,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.0042,0.00444444,0
15011,0,0,0,0,0,0,0,0,0,0,-1.541,-5.03,100,57.198,58,24.66,2.669,5,100,0.004,57.198,0,-1.541,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.112,0.00444444,0
15012,0,0,0,0,0,0,0,0,0,0,-1.548,-5.03,100,57.194,58,24.678,2.669,5,100,0.004,57.194,0,-1.548,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.1807,0.00444444,0
15013,0,0,0,0,0,0,0,0,0,0,-1.555,-5.03,100,57.198,58,24.675,2.669,5,100,0.004,57.198,0,-1.555,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.2493,0.00444444,0
15014,0,0,0,0,0,0,0,0,0,0,-1.555,-5.03,100,57.198,58,24.678,2.669,5,100,0.004,57.198,0,-1.555,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.2493,0.00444444,0
15015,0,0,0,0,0,0,0,0,0,0,-1.559,-5.03,100,57.198,58,24.685,2.669,5,100,0.004,57.198,0,-1.563,21.842,24.3,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.3278,0.00444444,0
15016,0,0,0,0,0,0,0,0,0,0,-1.563,-5.03,100,57.198,58,24.689,2.669,5,100,0.004,57.198,0,-1.563,21.842,24.3,52.393,175.304,42.578,0.016,0,73,0.002,0.00111111,-15.3278,0.00444444,0
15017,0,0,0,0,0,0,0,0,0,0,-1.563,-5.03,100,57.198,58,24.696,2.669,5,100,0.004,57.198,0,-1.563,21.842,24.3,52.393,175.304,42.578,0.016,0,73,0.002,0.00111111,-15.3278,0.00444444,0
15018,0,0,0,0,0,0,0,0,0,0,-1.563,-5.03,100,57.194,58,24.714,2.669,5,100,0.003,57.194,0,-1.563,21.842,24.349,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-15.3278,0.00444444,0
15019,0,0,0,0,0,0,0,0,0,0,-1.555,-5.03,100,57.194,58,24.721,2.669,5,100,0.004,57.194,0,-1.555,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.2493,0.00444444,0
15020,0,0,0,0,0,0,0,0,0,0,-1.559,-5.03,100,57.194,58,24.725,2.668,5,100,0.004,57.194,0,-1.555,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.2493,0.00444444,0
15021,0,0,0,0,0,0,0,0,0,0,-1.566,-5.03,100,57.194,58,24.732,2.668,5,100,0.004,57.194,0,-1.566,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.3572,0.00444444,0
15022,0,0,0,0,0,0,0,0,0,0,-1.577,-5.03,100,57.194,58,24.736,2.668,5,100,0.004,57.194,0,-1.577,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.4651,0.00444444,0
15023,0,0,0,0,0,0,0,0,0,0,-1.584,-5.03,100,57.194,58,24.743,2.668,5,100,0.004,57.194,0,-1.584,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.5337,0.00444444,0
15024,0,0,0,0,0,0,0,0,0,0,-1.591,-5.03,100,57.194,58,24.736,2.668,5,100,0.004,57.198,0,-1.588,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.00111111,-15.573,0.00444444,0
15025,0,0,0,0,0,0,0,0,0,0,-1.602,-5.03,100,57.198,58,24.754,2.668,5,100,0.003,57.194,0,-1.599,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-15.6808,0.00444444,0
15026,0,0,0,0,0,0,0,0,0,0,-1.624,-5.03,100,57.198,58,24.75,2.668,5,100,0.003,57.198,0,-1.617,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-15.8574,0.00444444,0
15027,0,0,0,0,0,0,0,0,0,0,-1.631,-5.03,100,57.198,58,24.754,2.668,5,100,0.003,57.198,0,-1.631,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-15.9946,0.00444444,0
15028,0,0,0,0,0,0,0,0,0,0,-1.642,-5.03,100,57.198,58,24.761,2.668,5,100,0.003,57.198,0,-1.642,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-16.1025,0.00444444,0
15029,0,0,0,0,0,0,0,0,0,0,-1.646,-5.03,100,57.198,58,24.765,2.668,5,100,0.003,57.198,0,-1.642,21.842,24.382,52.393,175.304,42.464,0.016,0,73,0.002,0.000833333,-16.1025,0.00444444,0
15030,0,0,0,0,0,0,0,0,0,0,-1.642,-5.03,100,57.194,58,24.783,2.668,5,100,0.003,57.194,0,-1.642,21.842,24.382,52.311,175.304,42.464,0.016,0,73,0.002,0.000833333,-16.1025,0.00444444,0
15031,0,0,0,0,0,0,0,0,0,0,-1.642,-5.03,100,57.194,58,24.79,2.668,5,100,0.003,57.194,0,-1.642,21.842,24.382,52.311,175.304,42.513,0.016,0,73,0.002,0.000833333,-16.1025,0.00444444,0
15032,0,0,0,0,0,0,0,0,0,0,-1.646,-5.03,100,57.194,58,24.794,2.668,5,100,0.003,57.194,0,-1.646,21.842,24.382,52.311,175.304,42.513,0.016,0,73,0.002,0.000833333,-16.1417,0.00444444,0
15033,0,0,0,0,0,0,0,0,0,0,-1.635,-5.03,100,57.194,58,24.801,2.668,5,100,0.003,57.194,0,-1.635,21.842,24.382,52.311,175.174,42.497,0.016,0,73,0.002,0.000833333,-16.0339,0.00444444,0
15034,0,0,0,0,0,0,0,0,0,0,-1.631,-5.03,100,57.198,58,24.794,2.668,5,100,0.003,57.198,0,-1.631,21.842,24.382,52.311,175.174,42.513,0.016,0,73,0.002,0.000833333,-15.9946,0.00444444,0
15035,0,0,0,0,0,0,0,0,0,0,-1.62,-5.03,100,57.194,58,24.812,2.668,5,100,0.004,57.194,0,-1.62,21.842,24.382,52.311,175.217,42.497,0.016,0,73,0.002,0.00111111,-15.8868,0.00444444,0
15036,0,0,0,0,0,0,0,0,0,0,-1.617,-5.03,100,57.194,58,24.82,2.668,5,100,0.004,57.194,0,-1.617,21.842,24.398,52.311,175.174,42.513,0.016,0,73,0.002,0.00111111,-15.8574,0.00444444,0
15037,0,0,0,0,0,0,0,0,0,0,-1.613,-5.03,100,57.194,58,24.823,2.668,5,100,0.004,57.194,0,-1.617,21.842,24.463,52.393,175.174,42.513,0.016,0,73,0.002,0.00111111,-15.8574,0.00444444,0
15038,0,0,0,0,0,0,0,0,0,0,-1.61,-5.03,100,57.194,58,24.831,2.668,5,100,0.004,57.194,0,-1.61,21.908,24.463,52.425,175.217,42.513,0.016,0,73,0.002,0.00111111,-15.7887,0.00444444,0
